id,name,vintage,price,JS,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
6270,"Chateau Haut-Brion",2000,879.97,95,https://www.wine.com/product/chateau-haut-brion-2000/6270,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6271,"Chateau Mouton Rothschild",1983,669.97,93,https://www.wine.com/product/chateau-mouton-rothschild-1983/6271,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6273,"Chateau Mouton Rothschild",1989,389,98,https://www.wine.com/product/chateau-mouton-rothschild-1989/6273,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6297,"Chateau Cos d'Estournel",1989,199.97,94,https://www.wine.com/product/chateau-cos-destournel-1989/6297,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
6311,"Chateau Montrose",1989,469.97,99,https://www.wine.com/product/chateau-montrose-1989/6311,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
6318,"Chateau Mouton Rothschild",1990,579.97,90,https://www.wine.com/product/chateau-mouton-rothschild-1990/6318,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6375,"Chateau Cos d'Estournel",1990,229.97,92,https://www.wine.com/product/chateau-cos-destournel-1990/6375,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
7360,"Chateau Mouton Rothschild (Balthus label)",1993,599.97,90,https://www.wine.com/product/chateau-mouton-rothschild-balthus-label-1993/7360,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
8060,"Chateau Pichon Longueville Comtesse de Lalande",2000,339.97,93,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-2000/8060,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
10235,"Chateau Montrose",1994,75,92,https://www.wine.com/product/chateau-montrose-1994/10235,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
15741,"Chateau Lynch-Bages",1982,499.97,95,https://www.wine.com/product/chateau-lynch-bages-1982/15741,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
21243,"Chateau Lafite Rothschild",1995,749,98,https://www.wine.com/product/chateau-lafite-rothschild-1995/21243,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
21261,"Chateau Mouton Rothschild",1988,429.97,93,https://www.wine.com/product/chateau-mouton-rothschild-1988/21261,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
24593,"Chateau Mouton Rothschild",1998,549.97,91,https://www.wine.com/product/chateau-mouton-rothschild-1998/24593,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
42778,"Chateau Figeac",2000,249.97,93,https://www.wine.com/product/chateau-figeac-2000/42778,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
42781,"Chateau La Mission Haut-Brion",2000,629.97,95,https://www.wine.com/product/chateau-la-mission-haut-brion-2000/42781,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
42785,"Chateau Leoville Barton",2000,169.97,96,https://www.wine.com/product/chateau-leoville-barton-2000/42785,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
42786,"Chateau Lynch-Bages",2000,369.97,95,https://www.wine.com/product/chateau-lynch-bages-2000/42786,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
42791,"Chateau Pichon-Longueville Baron",2000,249.97,96,https://www.wine.com/product/chateau-pichon-longueville-baron-2000/42791,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
45482,"Chateau Cheval Blanc",1998,789,100,https://www.wine.com/product/chateau-cheval-blanc-1998/45482,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
53061,"Chateau Palmer",1999,399.97,91,https://www.wine.com/product/chateau-palmer-1999/53061,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
57410,"Chateau Cos d'Estournel",2000,259.97,95,https://www.wine.com/product/chateau-cos-destournel-2000/57410,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
59637,"Chateau Montrose (scuffed label)",2000,199.97,96,https://www.wine.com/product/chateau-montrose-scuffed-label-2000/59637,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
60164,"Henschke Hill of Grace Shiraz",1998,599,93,https://www.wine.com/product/henschke-hill-of-grace-shiraz-1998/60164,Syrah/Shiraz,Australia,0,1,0,0,0,1
75018,"Chateau Ducru-Beaucaillou",2000,239.97,96,https://www.wine.com/product/chateau-ducru-beaucaillou-2000/75018,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
75040,"Vieux Chateau Certan",2001,219.97,96,https://www.wine.com/product/vieux-chateau-certan-2001/75040,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
86396,"Chateau Potensac",2003,49.99,92,https://www.wine.com/product/chateau-potensac-2003/86396,"Bordeaux Red Blends","Medoc, Bordeaux, France",1,0,0,0,1,0
86426,"Chateau Leoville Poyferre",2003,199.97,95,https://www.wine.com/product/chateau-leoville-poyferre-2003/86426,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
86811,"Chateau Duhart-Milon",2003,89.97,93,https://www.wine.com/product/chateau-duhart-milon-2003/86811,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
87440,"Chateau Pontet-Canet",2003,149,93,https://www.wine.com/product/chateau-pontet-canet-2003/87440,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
87626,"Chateau Pichon Longueville Comtesse de Lalande",2003,189.99,95,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-2003/87626,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
88503,"Chateau Cos d'Estournel",2003,269.97,98,https://www.wine.com/product/chateau-cos-destournel-2003/88503,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
88896,"Chateau Mouton Rothschild",2003,599.97,92,https://www.wine.com/product/chateau-mouton-rothschild-2003/88896,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
89253,"Chateau Leoville Las Cases",2003,289.99,97,https://www.wine.com/product/chateau-leoville-las-cases-2003/89253,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
89254,"Chateau Pichon-Longueville Baron",2003,189.97,96,https://www.wine.com/product/chateau-pichon-longueville-baron-2003/89254,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
89261,"Chateau Leoville Barton",2003,259.97,98,https://www.wine.com/product/chateau-leoville-barton-2003/89261,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
89312,"Chateau Ducru-Beaucaillou",2003,229.97,94,https://www.wine.com/product/chateau-ducru-beaucaillou-2003/89312,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
89313,"Chateau Smith Haut Lafitte",2003,119.97,93,https://www.wine.com/product/chateau-smith-haut-lafitte-2003/89313,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
89838,"Chateau Palmer",2003,219,91,https://www.wine.com/product/chateau-palmer-2003/89838,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
