name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Haut-Brion,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",879.97,95.0,100.12188,-5.1218796,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1983.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",669.97,93.0,98.33232,-5.332321,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",389.0,98.0,95.93799,2.0620117,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,1989.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",199.97,94.0,94.32713,-0.32713318,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,1989.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",469.97,99.0,96.62799,2.3720093,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1990.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",579.97,90.0,97.56538,-7.5653763,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,1990.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",229.97,92.0,94.58279,-2.5827866,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild (Balthus label),1993.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,90.0,97.73581,-7.7358093,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2000.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",339.97,93.0,95.52017,-2.520172,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,1994.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",75.0,92.0,93.262184,-1.2621841,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,1982.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",499.97,95.0,96.88364,-1.8836365,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1995.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",749.0,98.0,99.0058,-1.0057983,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1988.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",429.97,93.0,96.287125,-3.2871246,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1998.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",549.97,91.0,97.30972,-6.309723,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Figeac,2000.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",249.97,93.0,94.75322,-1.7532196,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",629.97,95.0,97.991455,-2.991455,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton,2000.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",169.97,96.0,94.07149,1.9285126,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,2000.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",369.97,95.0,95.77582,-0.7758179,1.0,0.0,0.0,0.0,1.0,0.0
