name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Haut-Brion,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",879.97,95.0,98.841064,-3.8410645,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1983.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",669.97,93.0,97.06183,-4.0618286,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",389.0,98.0,95.17546,2.8245392,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,1989.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",199.97,94.0,93.83696,0.16304016,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,1989.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",469.97,99.0,95.7488,3.2511978,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1990.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",579.97,90.0,96.54489,-6.5448914,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,1990.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",229.97,92.0,94.06658,-2.0665817,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild (Balthus label),1993.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,90.0,96.73808,-6.738083,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2000.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",339.97,93.0,95.01739,-2.0173874,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,1994.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",75.0,92.0,93.038025,-1.0380249,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,1982.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",499.97,95.0,95.84089,-0.840889,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1995.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",749.0,98.0,97.82773,0.17227173,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1988.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",429.97,93.0,95.44838,-2.4483795,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1998.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",549.97,91.0,96.46999,-5.4699936,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Figeac,2000.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",249.97,93.0,94.38011,-1.3801117,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",629.97,95.0,97.07085,-2.0708466,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton,2000.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",169.97,96.0,93.81364,2.1863632,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,2000.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",369.97,95.0,95.22981,-0.22981262,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon-Longueville Baron,2000.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",249.97,96.0,94.38011,1.6198883,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cheval Blanc,1998.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",789.0,100.0,98.16254,1.8374634,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,1999.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",399.97,91.0,95.42505,-4.425049,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2000.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",259.97,95.0,94.45091,0.5490875,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose (scuffed label),2000.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",199.97,96.0,94.02606,1.973938,1.0,0.0,0.0,0.0,1.0,0.0
Henschke Hill of Grace Shiraz,1998.0,Syrah/Shiraz,Australia,599.0,93.0,96.67162,-3.6716232,0.0,1.0,0.0,0.0,0.0,1.0
Chateau Ducru-Beaucaillou,2000.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",239.97,96.0,94.309296,1.6907043,1.0,0.0,0.0,0.0,1.0,0.0
Vieux Chateau Certan,2001.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",219.97,96.0,94.184875,1.8151245,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Potensac,2003.0,Bordeaux Red Blends,"Medoc, Bordeaux, France",49.99,92.0,93.01564,-1.0156403,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Poyferre,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",199.97,95.0,94.07764,0.9223633,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Duhart-Milon,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",89.97,93.0,93.29874,-0.29873657,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pontet-Canet,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",149.0,93.0,93.71672,-0.7167206,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.99,95.0,94.006966,0.99303436,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2003.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",269.97,98.0,94.573296,3.4267044,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,92.0,96.90999,-4.9099884,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Las Cases,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",289.99,97.0,94.71506,2.2849426,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon-Longueville Baron,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.97,96.0,94.00683,1.9931717,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",259.97,98.0,94.50249,3.4975128,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Ducru-Beaucaillou,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",229.97,94.0,94.29006,-0.29006195,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte,2003.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",119.97,93.0,93.51116,-0.5111618,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,2003.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",219.0,91.0,94.21239,-3.212387,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Calon-Segur,2004.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",89.0,91.0,93.30907,-2.3090668,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion (slightly stained label),2003.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",239.99,94.0,94.36101,-0.3610077,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Latour,2004.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",669.97,93.0,97.422844,-4.422844,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Giscours,2004.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",59.99,91.0,93.103645,-2.1036453,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Las Cases,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",349.99,99.0,95.17429,3.8257065,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2005.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",279.99,99.0,94.678635,4.3213654,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",799.99,98.0,98.360695,-0.3606949,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",179.97,93.0,93.970406,-0.9704056,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",399.97,94.0,95.5282,-1.5281982,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cheval Blanc,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",869.97,98.0,98.85622,-0.85621643,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",269.99,96.0,94.60783,1.3921738,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Brion,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",879.97,99.0,98.92702,0.07298279,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Branaire-Ducru,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",169.97,94.0,93.865204,0.13479614,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Calon-Segur,2005.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",139.97,93.0,93.687164,-0.6871643,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Giscours,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",109.0,95.0,93.46787,1.5321274,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",819.99,99.0,98.50231,0.4976883,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,2003.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",259.97,97.0,94.50249,2.4975128,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,2005.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",199.99,96.0,94.11216,1.8878403,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",159.99,95.0,93.828926,1.1710739,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",229.97,90.0,94.238495,-4.238495,1.0,0.0,0.0,0.0,1.0,0.0
Tenuta Guado al Tasso,2006.0,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",99.97,95.0,93.40661,1.5933914,1.0,0.0,0.0,1.0,0.0,0.0
Chateau Ducru-Beaucaillou,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",279.99,95.0,94.678635,0.32136536,1.0,0.0,0.0,0.0,1.0,0.0
Tenuta Guado al Tasso,2005.0,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",95.0,92.0,93.35423,-1.3542328,1.0,0.0,0.0,1.0,0.0,0.0
Chateau Rauzan-Segla,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",159.0,98.0,93.821915,4.1780853,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,2006.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,95.0,96.96156,-1.9615631,1.0,0.0,0.0,0.0,1.0,0.0
Penfolds Grange,2004.0,Syrah/Shiraz,Australia,499.0,97.0,96.06668,0.9333191,0.0,1.0,0.0,0.0,0.0,1.0
Chateau Pontet-Canet,2006.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",139.97,93.0,93.70436,-0.70436096,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Rauzan-Segla,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",135.0,98.0,93.65198,4.3480225,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Grand-Puy-Lacoste,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",159.99,97.0,93.828926,3.171074,1.0,0.0,0.0,0.0,1.0,0.0
Domaine de Chevalier,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",139.99,94.0,93.68731,0.31269073,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Fombrauge,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",54.99,94.0,93.085434,0.91456604,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Gaffeliere,2004.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",42.98,92.0,92.9832,-0.9832001,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Gaffeliere,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",144.97,95.0,93.72257,1.2774277,1.0,0.0,0.0,0.0,1.0,0.0
Clos du Marquis,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",89.99,92.0,93.33327,-1.3332672,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2006.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",159.99,92.0,93.846115,-1.8461151,1.0,0.0,0.0,0.0,1.0,0.0
Domaine de Chevalier (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",89.99,97.0,93.40203,3.597969,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",139.97,93.0,93.73874,-0.738739,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.99,96.0,94.110115,1.889885,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pavie,2008.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",299.97,95.0,94.87168,0.12831879,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pavie (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",289.0,97.0,94.811195,2.1888046,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pape Clement,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",139.97,91.0,93.73874,-2.738739,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pape Clement (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",149.99,94.0,93.82688,0.17311859,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,2008.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",219.0,93.0,94.29834,-1.2983398,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,2008.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",129.97,94.0,93.66793,0.3320694,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",279.99,93.0,94.7302,-1.7302017,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Brion,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",519.97,94.0,96.429474,-2.4294739,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Grand-Puy-Lacoste (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",79.99,95.0,93.33122,1.6687775,1.0,0.0,0.0,0.0,1.0,0.0
Chateau de Fieuzal,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",49.99,90.0,93.1016,-3.1016006,1.0,0.0,0.0,0.0,1.0,0.0
Chateau de Fieuzal (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",44.99,94.0,93.08339,0.9166107,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cheval Blanc Le Petit Cheval (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",159.0,94.0,93.89068,0.109321594,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Canon La Gaffeliere,2008.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",99.99,91.0,93.45564,-2.4556427,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Canon La Gaffeliere (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",94.99,97.0,93.43743,3.5625687,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Angelus (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",329.0,97.0,95.09443,1.905571,1.0,0.0,0.0,0.0,1.0,0.0
