name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Louis Jadot Le Chambertin,1996.0,Pinot Noir,"Burgundy, France",132.99,90.0,91.87727,-1.8772736,0.0,0.0,1.0,0.0,1.0,0.0
Louis Jadot Pommard Grands Epenot,1996.0,Pinot Noir,"Burgundy, France",66.99,88.0,91.2682,-3.2682037,0.0,0.0,1.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1986.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",469.0,100.0,95.82364,4.176361,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Latour,1990.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",918.97,95.0,99.976074,-4.976074,1.0,0.0,0.0,0.0,1.0,0.0
Guigal Hermitage (half-bottle),1995.0,Syrah/Shiraz,"Hermitage, Rhone, France",24.99,90.0,92.68005,-2.6800537,0.0,1.0,0.0,0.0,1.0,0.0
Guigal Hermitage,1995.0,Syrah/Shiraz,"Hermitage, Rhone, France",42.49,90.0,92.841545,-2.841545,0.0,1.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1985.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,90.0,97.03226,-7.032257,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Meyney,1995.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",69.97,89.0,92.1413,-3.1412964,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon-Longueville Baron,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",279.97,95.0,94.07922,0.92077637,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1982.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",799.0,100.0,98.86896,1.1310425,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1983.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",499.0,93.0,96.10049,-3.1004868,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1988.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",899.97,94.0,99.800735,-5.8007355,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",899.97,90.0,99.800735,-9.800735,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Margaux,1983.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",499.99,96.0,96.10962,-0.10961914,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Margaux,1986.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",849.97,98.0,99.339325,-1.339325,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Brion,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",879.97,99.0,99.61617,-0.6161728,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1983.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",669.97,91.0,97.67824,-6.678238,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",389.0,93.0,95.08538,-2.0853806,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Trotanoy,1982.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",316.49,96.0,94.41624,1.5837631,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Trotanoy,1989.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",168.99,90.0,93.05507,-3.055069,1.0,0.0,0.0,0.0,1.0,0.0
