name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Louis Jadot Le Chambertin,1996.0,Pinot Noir,"Burgundy, France",132.99,90.0,91.68468,-1.6846771,0.0,0.0,1.0,0.0,1.0,0.0
Louis Jadot Pommard Grands Epenot,1996.0,Pinot Noir,"Burgundy, France",66.99,88.0,91.12833,-3.1283264,0.0,0.0,1.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1986.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",469.0,100.0,95.21278,4.787216,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Latour,1990.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",918.97,95.0,99.07393,-4.073929,1.0,0.0,0.0,0.0,1.0,0.0
Guigal Hermitage (half-bottle),1995.0,Syrah/Shiraz,"Hermitage, Rhone, France",24.99,90.0,92.53469,-2.5346909,0.0,1.0,0.0,0.0,1.0,0.0
Guigal Hermitage,1995.0,Syrah/Shiraz,"Hermitage, Rhone, France",42.49,90.0,92.682205,-2.6822052,0.0,1.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1985.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,90.0,96.29978,-6.299782,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Meyney,1995.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",69.97,89.0,92.002335,-3.0023346,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon-Longueville Baron,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",279.97,95.0,93.67041,1.3295898,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1982.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",799.0,100.0,97.92645,2.0735474,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1983.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",499.0,93.0,95.4146,-2.4145966,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1988.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",899.97,94.0,98.87973,-4.87973,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",899.97,90.0,98.89674,-8.896744,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Margaux,1983.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",499.99,96.0,95.42294,0.5770569,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Margaux,1986.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",849.97,98.0,98.4242,-0.42420197,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Brion,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",879.97,99.0,98.915405,0.08459473,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1983.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",669.97,91.0,96.855804,-5.8558044,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,1989.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",389.0,93.0,94.589485,-1.5894852,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Trotanoy,1982.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",316.49,96.0,93.8591,2.1408997,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Trotanoy,1989.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",168.99,90.0,92.73489,-2.7348938,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,1983.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",126.49,90.0,92.2745,-2.274498,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,1988.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",274.99,90.0,93.611404,-3.6114044,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Gruaud Larose,1986.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",199.0,96.0,92.9368,3.063202,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Ducru-Beaucaillou (stained label),1982.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",399.97,96.0,94.5628,1.4372025,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Ducru-Beaucaillou,1986.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",209.0,90.0,93.021095,-3.0210953,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Conseillante,1989.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",399.97,96.0,94.68196,1.318039,1.0,0.0,0.0,0.0,1.0,0.0
