varietal,RP_avg,RP_num,JS_avg,JS_num,V_avg,V_num,WS_avg,WS_num,WE_avg,WE_num
Petite Sirah,93.4091,132,93.1667,6,92.75,4,91.3514,74,90.9691,97
Bordeaux Red Blends,93.3663,4679,94.1063,2615,95.368,231,92.4128,4147,93.1764,2801
Syrah/Shiraz,93.34,2518,93.6261,329,93.4133,75,91.8724,2241,91.5559,1047
Cabernet Sauvignon,93.3202,4101,93.1114,1328,93.8841,138,91.5114,3215,91.7569,2666
Nebbiolo,93.1741,1149,93.5588,816,94.0333,60,92.7903,1316,92.9202,614
Rhone Red Blends,92.7822,2011,92.9247,186,93.1698,53,92.3156,1369,91.2181,321
Cabernet Franc,92.5504,129,93.2174,46,92.875,8,90.66,100,91.7174,92
Carignan,92.4737,19,92.2,15,92.6667,3,90,9,90.2727,11
Grenache,92.4447,425,92.2264,53,92.8421,19,91.9198,162,91.7368,95
Tuscan Blends,92.3618,152,92.7378,225,91,4,91.6512,258,92.6863,102
Sangiovese,92.3006,1354,93.1877,1257,94.125,56,91.9011,1516,91.9008,907
Pinot Noir,92.1072,2835,92.919,741,92.7282,287,91.4169,2984,91.8853,2380
Tempranillo,92.1001,859,92.9786,234,92.4,20,91.1815,518,91.4636,302
Lagrein,92,4,94,4,NULL,0,90.2,5,90,2
Touriga Nacional,91.8824,17,90,2,NULL,0,92.7368,19,91.3333,18
Other Red Blends,91.8698,1698,92.3306,487,93,38,90.8654,1270,91.1471,918
Merlot,91.8568,412,93.6116,121,92.8333,12,89.7857,756,90.2804,624
Zinfandel,91.7945,584,92.25,12,93.3846,13,90.488,541,90.6426,470
Malbec,91.6936,545,92.2304,369,91.8,5,90.7555,409,90.7792,317
Other Red Wine,91.6782,202,92.2203,59,91.7143,7,90.1758,91,91.3421,76
Petit Verdot,91.5833,12,91.3333,3,NULL,0,90.5,8,91.5,8
Aglianico,91.5625,64,92.24,25,90,1,91,54,91.2564,39
Carmenere,91.4902,51,91.7937,63,NULL,0,90.1207,58,90.1774,62
Mencia,91.4773,44,93.5,4,92.5,2,90.8462,26,90.7143,21
Nero d'Avola,90.8364,55,91.6842,38,NULL,0,89.9474,38,90.1923,26
Gamay,90.7591,137,92.1711,76,91.5,10,89.6053,76,90.6076,79
Cinsault,90.75,4,91.5,4,NULL,0,NULL,0,91.3333,6
Corvina,90.7333,15,92.4,5,NULL,0,90.3333,15,91.25,4
Mourvedre,90.7041,98,92.2727,11,90,1,91,40,90.8261,23
Barbera,90.1951,82,91.0732,82,91,3,89.6377,138,89.9615,52
Blaufrankisch,90,1,NULL,0,NULL,0,88.75,4,91.2222,9
Tannat,90,3,91,3,NULL,0,90.25,4,90,4
Montepulciano,89.9091,33,91.2308,13,91,1,90,9,89.75,4
Bonarda,89.8333,18,91.5556,9,NULL,0,89.0769,13,89.875,8
Pinotage,89.7,10,91.6667,3,NULL,0,89,24,89.125,16
Dolcetto,89.5238,42,90.6667,12,NULL,0,89.9636,55,89.5714,7
Primitivo,89.4615,13,90.4,5,NULL,0,90.2727,11,90.0769,13
Negroamaro,89.2222,18,90.5,2,NULL,0,89.25,8,89.1111,9
Zweigelt,NULL,0,NULL,0,NULL,0,87,1,89,1
Valdiguie,NULL,0,NULL,0,NULL,0,NULL,0,91.5,2
Pinot Meunier,NULL,0,NULL,0,NULL,0,NULL,0,88,3
Lambrusco,NULL,0,NULL,0,NULL,0,89,1,NULL,0
