name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Haut-Brion,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,879.97,95,99.31670,-4.31670,1,0,0,0,1,0
Chateau Mouton Rothschild,1983,Bordeaux Red Blends,Pauillac, Bordeaux, France,669.97,93,97.77951,-4.77951,1,0,0,0,1,0
Chateau Mouton Rothschild,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,389.00,98,95.72281,2.27719,1,0,0,0,1,0
Chateau Cos d'Estournel,1989,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.97,94,94.33911,-0.33911,1,0,0,0,1,0
Chateau Montrose,1989,Bordeaux Red Blends,St. Estephe, Bordeaux, France,469.97,99,96.31551,2.68449,1,0,0,0,1,0
Chateau Mouton Rothschild,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,579.97,90,97.12071,-7.12071,1,0,0,0,1,0
Chateau Cos d'Estournel,1990,Bordeaux Red Blends,St. Estephe, Bordeaux, France,229.97,92,94.55872,-2.55872,1,0,0,0,1,0
Chateau Mouton Rothschild (Balthus label),1993,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,90,97.26711,-7.26711,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,339.97,93,95.36391,-2.36391,1,0,0,0,1,0
Chateau Montrose,1994,Bordeaux Red Blends,St. Estephe, Bordeaux, France,75.00,92,93.42434,-1.42434,1,0,0,0,1,0
Chateau Lynch-Bages,1982,Bordeaux Red Blends,Pauillac, Bordeaux, France,499.97,95,96.53511,-1.53511,1,0,0,0,1,0
Chateau Lafite Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,749.00,98,98.35800,-0.35800,1,0,0,0,1,0
Chateau Mouton Rothschild,1988,Bordeaux Red Blends,Pauillac, Bordeaux, France,429.97,93,96.02271,-3.02271,1,0,0,0,1,0
Chateau Mouton Rothschild,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,549.97,91,96.90111,-5.90111,1,0,0,0,1,0
Chateau Figeac,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,249.97,93,94.70512,-1.70512,1,0,0,0,1,0
Chateau La Mission Haut-Brion,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,629.97,95,97.48671,-2.48671,1,0,0,0,1,0
Chateau Leoville Barton,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,169.97,96,94.11952,1.88048,1,0,0,0,1,0
Chateau Lynch-Bages,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,369.97,95,95.58351,-0.58351,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,249.97,96,94.70512,1.29488,1,0,0,0,1,0
Chateau Cheval Blanc,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,789.00,100,98.65080,1.34920,1,0,0,0,1,0
Chateau Palmer,1999,Bordeaux Red Blends,Margaux, Bordeaux, France,399.97,91,95.80312,-4.80312,1,0,0,0,1,0
Chateau Cos d'Estournel,2000,Bordeaux Red Blends,St. Estephe, Bordeaux, France,259.97,95,94.77832,0.22168,1,0,0,0,1,0
Chateau Montrose (scuffed label),2000,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.97,96,94.33911,1.66089,1,0,0,0,1,0
Henschke Hill of Grace Shiraz,1998,Syrah/Shiraz,Australia,599.00,93,97.45163,-4.45163,0,1,0,0,0,1
Chateau Ducru-Beaucaillou,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,239.97,96,94.63191,1.36809,1,0,0,0,1,0
Vieux Chateau Certan,2001,Bordeaux Red Blends,Pomerol, Bordeaux, France,219.97,96,94.48552,1.51448,1,0,0,0,1,0
Chateau Potensac,2003,Bordeaux Red Blends,Medoc, Bordeaux, France,49.99,92,93.24126,-1.24126,1,0,0,0,1,0
Chateau Leoville Poyferre,2003,Bordeaux Red Blends,St. Julien, Bordeaux, France,199.97,95,94.33911,0.66089,1,0,0,0,1,0
Chateau Duhart-Milon,2003,Bordeaux Red Blends,Pauillac, Bordeaux, France,89.97,93,93.53392,-0.53392,1,0,0,0,1,0
Chateau Pontet-Canet,2003,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.00,93,93.96602,-0.96602,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2003,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.99,95,94.26607,0.73393,1,0,0,0,1,0
Chateau Cos d'Estournel,2003,Bordeaux Red Blends,St. Estephe, Bordeaux, France,269.97,98,94.85152,3.14848,1,0,0,0,1,0
Chateau Mouton Rothschild,2003,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,92,97.26711,-5.26711,1,0,0,0,1,0
Chateau Leoville Las Cases,2003,Bordeaux Red Blends,St. Julien, Bordeaux, France,289.99,97,94.99806,2.00194,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,2003,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.97,96,94.26591,1.73409,1,0,0,0,1,0
Chateau Leoville Barton,2003,Bordeaux Red Blends,St. Julien, Bordeaux, France,259.97,98,94.77832,3.22168,1,0,0,0,1,0
Chateau Ducru-Beaucaillou,2003,Bordeaux Red Blends,St. Julien, Bordeaux, France,229.97,94,94.55872,-0.55872,1,0,0,0,1,0
Chateau Smith Haut Lafitte,2003,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,119.97,93,93.75352,-0.75352,1,0,0,0,1,0
Chateau Palmer,2003,Bordeaux Red Blends,Margaux, Bordeaux, France,219.00,91,94.47842,-3.47842,1,0,0,0,1,0
Chateau Calon-Segur,2004,Bordeaux Red Blends,St. Estephe, Bordeaux, France,89.00,91,93.52682,-2.52682,1,0,0,0,1,0
Chateau La Mission Haut-Brion (slightly stained label),2003,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,239.99,94,94.63206,-0.63206,1,0,0,0,1,0
Chateau Latour,2004,Bordeaux Red Blends,Pauillac, Bordeaux, France,669.97,93,97.77951,-4.77951,1,0,0,0,1,0
Chateau Giscours,2004,Bordeaux Red Blends,Margaux, Bordeaux, France,59.99,91,93.31447,-2.31447,1,0,0,0,1,0
Chateau Leoville Las Cases,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,349.99,99,95.43726,3.56274,1,0,0,0,1,0
Chateau Cos d'Estournel,2005,Bordeaux Red Blends,St. Estephe, Bordeaux, France,279.99,99,94.92487,4.07513,1,0,0,0,1,0
Chateau Mouton Rothschild,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,799.99,98,98.73125,-0.73125,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,179.97,93,94.19272,-1.19272,1,0,0,0,1,0
Chateau Palmer,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,399.97,94,95.80312,-1.80312,1,0,0,0,1,0
Chateau Cheval Blanc,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,869.97,98,99.24350,-1.24350,1,0,0,0,1,0
Chateau Lynch-Bages,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,269.99,96,94.85166,1.14834,1,0,0,0,1,0
Chateau Haut-Brion,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,879.97,99,99.31670,-0.31670,1,0,0,0,1,0
Chateau Branaire-Ducru,2003,Bordeaux Red Blends,St. Julien, Bordeaux, France,169.97,94,94.11952,-0.11952,1,0,0,0,1,0
Chateau Calon-Segur,2005,Bordeaux Red Blends,St. Estephe, Bordeaux, France,139.97,93,93.89992,-0.89992,1,0,0,0,1,0
Chateau Giscours,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,109.00,95,93.67322,1.32678,1,0,0,0,1,0
