name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Louis Jadot Le Chambertin,1996,Pinot Noir,Burgundy, France,132.99,90,91.83446,-1.83446,0,0,1,0,1,0
Louis Jadot Pommard Grands Epenot,1996,Pinot Noir,Burgundy, France,66.99,88,91.27037,-3.27037,0,0,1,0,1,0
Chateau Mouton Rothschild,1986,Bordeaux Red Blends,Pauillac, Bordeaux, France,469.00,100,95.67832,4.32168,1,0,0,0,1,0
Chateau Latour,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,918.97,95,99.52406,-4.52406,1,0,0,0,1,0
Guigal Hermitage (half-bottle),1995,Syrah/Shiraz,Hermitage, Rhone, France,24.99,90,92.64413,-2.64413,0,1,0,0,1,0
Guigal Hermitage,1995,Syrah/Shiraz,Hermitage, Rhone, France,42.49,90,92.79370,-2.79370,0,1,0,0,1,0
Chateau Mouton Rothschild,1985,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,90,96.79768,-6.79768,1,0,0,0,1,0
Chateau Meyney,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,69.97,89,92.26796,-3.26796,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,279.97,95,94.06275,0.93725,1,0,0,0,1,0
Chateau Lafite Rothschild,1982,Bordeaux Red Blends,Pauillac, Bordeaux, France,799.00,100,98.49872,1.50128,1,0,0,0,1,0
Chateau Lafite Rothschild,1983,Bordeaux Red Blends,Pauillac, Bordeaux, France,499.00,93,95.93472,-2.93472,1,0,0,0,1,0
Chateau Lafite Rothschild,1988,Bordeaux Red Blends,Pauillac, Bordeaux, France,899.97,94,99.36166,-5.36166,1,0,0,0,1,0
Chateau Lafite Rothschild,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,899.97,90,99.36166,-9.36166,1,0,0,0,1,0
Chateau Margaux,1983,Bordeaux Red Blends,Margaux, Bordeaux, France,499.99,96,95.94318,0.05682,1,0,0,0,1,0
Chateau Margaux,1986,Bordeaux Red Blends,Margaux, Bordeaux, France,849.97,98,98.93434,-0.93434,1,0,0,0,1,0
Chateau Haut-Brion,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,879.97,99,99.19073,-0.19073,1,0,0,0,1,0
Chateau Mouton Rothschild,1983,Bordeaux Red Blends,Pauillac, Bordeaux, France,669.97,91,97.39594,-6.39594,1,0,0,0,1,0
Chateau Mouton Rothschild,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,389.00,93,94.99459,-1.99459,1,0,0,0,1,0
Chateau Trotanoy,1982,Bordeaux Red Blends,Pomerol, Bordeaux, France,316.49,96,94.37488,1.62512,1,0,0,0,1,0
Chateau Trotanoy,1989,Bordeaux Red Blends,Pomerol, Bordeaux, France,168.99,90,93.11424,-3.11424,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1983,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,126.49,90,92.75101,-2.75101,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1988,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,274.99,90,94.02019,-4.02019,1,0,0,0,1,0
Chateau Gruaud Larose,1986,Bordeaux Red Blends,St. Julien, Bordeaux, France,199.00,96,93.37073,2.62927,1,0,0,0,1,0
Chateau Ducru-Beaucaillou (stained label),1982,Bordeaux Red Blends,St. Julien, Bordeaux, France,399.97,96,95.08835,0.91165,1,0,0,0,1,0
Chateau Ducru-Beaucaillou,1986,Bordeaux Red Blends,St. Julien, Bordeaux, France,209.00,90,93.45619,-3.45619,1,0,0,0,1,0
Chateau La Conseillante,1989,Bordeaux Red Blends,Pomerol, Bordeaux, France,399.97,96,95.08835,0.91165,1,0,0,0,1,0
Chateau Leoville Las Cases,1989,Bordeaux Red Blends,St. Julien, Bordeaux, France,309.97,91,94.31915,-3.31915,1,0,0,0,1,0
Chateau Montrose,1989,Bordeaux Red Blends,St. Estephe, Bordeaux, France,469.97,100,95.68661,4.31339,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,249.97,93,93.80635,-0.80635,1,0,0,0,1,0
Chateau Leoville Poyferre,1982,Bordeaux Red Blends,St. Julien, Bordeaux, France,216.99,93,93.52448,-0.52448,1,0,0,0,1,0
Chateau Leoville Barton,1990,Bordeaux Red Blends,St. Julien, Bordeaux, France,211.99,92,93.48175,-1.48175,1,0,0,0,1,0
Chateau Leoville Barton,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,259.97,93,93.89182,-0.89182,1,0,0,0,1,0
Chateau Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,849.97,99,98.93434,0.06566,1,0,0,0,1,0
Chateau Cos d'Estournel,1990,Bordeaux Red Blends,St. Estephe, Bordeaux, France,229.97,94,93.63542,0.36458,1,0,0,0,1,0
Chateau Haut-Brion,1990,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,989.97,98,100.13087,-2.13087,1,0,0,0,1,0
Chateau Haut-Brion,1994,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,429.99,92,95.34492,-3.34492,1,0,0,0,1,0
Chateau Leoville Poyferre,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,139.00,93,92.85793,0.14207,1,0,0,0,1,0
Chateau Leoville Barton,1986,Bordeaux Red Blends,St. Julien, Bordeaux, France,113.99,92,92.64418,-0.64418,1,0,0,0,1,0
Chateau Pontet-Canet,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,159.97,92,93.03716,-1.03716,1,0,0,0,1,0
Chateau Lafite Rothschild,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,225.99,90,93.60140,-3.60140,1,0,0,0,1,0
Chateau Margaux,1990,Bordeaux Red Blends,Margaux, Bordeaux, France,989.00,100,100.12257,-0.12257,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1990,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,699.98,97,97.65243,-0.65243,1,0,0,0,1,0
Chateau Ducru-Beaucaillou,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,379.97,96,94.91742,1.08258,1,0,0,0,1,0
Chateau Lynch-Bages,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,349.97,99,94.66101,4.33899,1,0,0,0,1,0
Chateau Lynch-Bages,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,219.97,93,93.54996,-0.54996,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,250.00,98,93.80661,4.19339,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.97,90,93.29355,-3.29355,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,229.97,91,93.63542,-2.63542,1,0,0,0,1,0
Chateau Leoville Las Cases,1990,Bordeaux Red Blends,St. Julien, Bordeaux, France,304.99,96,94.27659,1.72341,1,0,0,0,1,0
Chateau Leoville Las Cases,1993,Bordeaux Red Blends,St. Julien, Bordeaux, France,79.99,90,92.35359,-2.35359,1,0,0,0,1,0
