name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Louis Jadot Le Chambertin,1996,Pinot Noir,Burgundy, France,132.99,90,91.15433,-1.15433,0,0,1,0,1,0
Louis Jadot Pommard Grands Epenot,1996,Pinot Noir,Burgundy, France,66.99,88,90.74672,-2.74672,0,0,1,0,1,0
Chateau Mouton Rothschild,1986,Bordeaux Red Blends,Pauillac, Bordeaux, France,469.00,100,94.81277,5.18723,1,0,0,0,1,0
Chateau Latour,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,918.97,95,97.65941,-2.65941,1,0,0,0,1,0
Guigal Hermitage (half-bottle),1995,Syrah/Shiraz,Hermitage, Rhone, France,24.99,90,93.05151,-3.05151,0,1,0,0,1,0
Guigal Hermitage,1995,Syrah/Shiraz,Hermitage, Rhone, France,42.49,90,93.15959,-3.15959,0,1,0,0,1,0
Chateau Mouton Rothschild,1985,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,90,95.60472,-5.60472,1,0,0,0,1,0
Chateau Meyney,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,69.97,89,92.50060,-3.50060,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,279.97,95,93.69608,1.30392,1,0,0,0,1,0
Chateau Lafite Rothschild,1982,Bordeaux Red Blends,Pauillac, Bordeaux, France,799.00,100,96.78318,3.21682,1,0,0,0,1,0
Chateau Lafite Rothschild,1983,Bordeaux Red Blends,Pauillac, Bordeaux, France,499.00,93,94.94731,-1.94731,1,0,0,0,1,0
Chateau Lafite Rothschild,1988,Bordeaux Red Blends,Pauillac, Bordeaux, France,899.97,94,97.50824,-3.50824,1,0,0,0,1,0
Chateau Lafite Rothschild,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,899.97,90,97.52515,-7.52515,1,0,0,0,1,0
Chateau Margaux,1983,Bordeaux Red Blends,Margaux, Bordeaux, France,499.99,96,94.95343,1.04657,1,0,0,0,1,0
Chateau Margaux,1986,Bordeaux Red Blends,Margaux, Bordeaux, France,849.97,98,97.16562,0.83438,1,0,0,0,1,0
Chateau Haut-Brion,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,879.97,99,97.58767,1.41233,1,0,0,0,1,0
Chateau Mouton Rothschild,1983,Bordeaux Red Blends,Pauillac, Bordeaux, France,669.97,91,96.00322,-5.00322,1,0,0,0,1,0
Chateau Mouton Rothschild,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,389.00,93,94.36944,-1.36944,1,0,0,0,1,0
Chateau Trotanoy,1982,Bordeaux Red Blends,Pomerol, Bordeaux, France,316.49,96,93.80324,2.19676,1,0,0,0,1,0
Chateau Trotanoy,1989,Bordeaux Red Blends,Pomerol, Bordeaux, France,168.99,90,93.01067,-3.01067,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1983,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,126.49,90,92.64671,-2.64671,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1988,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,274.99,90,93.64841,-3.64841,1,0,0,0,1,0
Chateau Gruaud Larose,1986,Bordeaux Red Blends,St. Julien, Bordeaux, France,199.00,96,93.14527,2.85473,1,0,0,0,1,0
Chateau Ducru-Beaucaillou (stained label),1982,Bordeaux Red Blends,St. Julien, Bordeaux, France,399.97,96,94.31880,1.68120,1,0,0,0,1,0
Chateau Ducru-Beaucaillou,1986,Bordeaux Red Blends,St. Julien, Bordeaux, France,209.00,90,93.20703,-3.20703,1,0,0,0,1,0
Chateau La Conseillante,1989,Bordeaux Red Blends,Pomerol, Bordeaux, France,399.97,96,94.43719,1.56281,1,0,0,0,1,0
Chateau Leoville Las Cases,1989,Bordeaux Red Blends,St. Julien, Bordeaux, France,309.97,91,93.88135,-2.88135,1,0,0,0,1,0
Chateau Montrose,1989,Bordeaux Red Blends,St. Estephe, Bordeaux, France,469.97,100,94.86951,5.13049,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,249.97,93,93.51080,-0.51080,1,0,0,0,1,0
Chateau Leoville Poyferre,1982,Bordeaux Red Blends,St. Julien, Bordeaux, France,216.99,93,93.18872,-0.18872,1,0,0,0,1,0
Chateau Leoville Barton,1990,Bordeaux Red Blends,St. Julien, Bordeaux, France,211.99,92,93.29315,-1.29315,1,0,0,0,1,0
Chateau Leoville Barton,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,259.97,93,93.69095,-0.69095,1,0,0,0,1,0
Chateau Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,849.97,99,97.33475,1.66525,1,0,0,0,1,0
Chateau Cos d'Estournel,1990,Bordeaux Red Blends,St. Estephe, Bordeaux, France,229.97,94,93.40419,0.59581,1,0,0,0,1,0
Chateau Haut-Brion,1990,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,989.97,98,98.09790,-0.09790,1,0,0,0,1,0
Chateau Haut-Brion,1994,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,429.99,92,94.70715,-2.70715,1,0,0,0,1,0
Chateau Leoville Poyferre,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,139.00,93,92.94384,0.05616,1,0,0,0,1,0
Chateau Leoville Barton,1986,Bordeaux Red Blends,St. Julien, Bordeaux, France,113.99,92,92.62025,-0.62025,1,0,0,0,1,0
Chateau Pontet-Canet,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,159.97,92,93.05643,-1.05643,1,0,0,0,1,0
