name,vintage,type,score,prediction,difference
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2001,brunello,97,96.434250.5,0.565750.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2004,brunello,94,91.859352.5,2.140648.5
Altesino Brunello di Montalcino,2004,brunello,92,90.108131.5,1.891869.5
Argiano Brunello di Montalcino,2004,brunello,96,90.903702.5,5.096298.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2004,brunello,96,92.894630.5,3.105370.5
Tenute Silvio Nardi Brunello di Montalcino,2004,brunello,92,91.103592.5,0.896408.5
Banfi Brunello di Montalcino,2004,brunello,93,90.903702.5,2.096298.5
Casanova di Neri Brunello di Montalcino Cerretalto,2004,brunello,98,98.032417.5,-0.032417.5
Uccelliera Brunello di Montalcino,2004,brunello,96,92.497246.5,3.502754.5
Fuligni Brunello di Montalcino,2004,brunello,96,91.302689.5,4.697311.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2005,brunello,93,92.112946.5,0.887054.5
Vitanza Brunello di Montalcino,2004,brunello,94,90.625771.5,3.374229.5
Fuligni Brunello di Montalcino,2005,brunello,92,91.277550.5,0.722450.5
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2001,brunello,100,114.313972.5,-14.313972.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2005,brunello,90,91.038643.5,-1.038643.5
Valdicava Brunello di Montalcino,2004,brunello,95,93.292816.5,1.707184.5
Valdicava Brunello di Montalcino,2006,brunello,97,93.322189.5,3.677811.5
Capanna Brunello di Montalcino,2006,brunello,95,89.937607.5,5.062393.5
Casanova di Neri Brunello di Montalcino White Label,2006,brunello,92,90.137497.5,1.862503.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2006,brunello,100,94.118561.5,5.881439.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2006,brunello,96,90.933868.5,5.066132.5
Poggio Antico Brunello di Montalcino,2006,brunello,95,91.013504.5,3.986496.5
Poggio Antico Brunello di Montalcino Altero,2006,brunello,95,90.894051.5,4.105949.5
Canalicchio di Sopra Brunello di Montalcino,2006,brunello,90,89.937607.5,0.062393.5
BenMarco Malbec,2009,malbec,92,89.163292.5,2.836708.5
Banfi Brunello di Montalcino,2006,brunello,95,90.854233.5,4.145767.5
La Poderina Brunello di Montalcino,2006,brunello,95,90.296768.5,4.703232.5
Fattoria dei Barbi Brunello di Montalcino,2005,brunello,90,89.803467.5,0.196533.5
Argiano Brunello di Montalcino,2006,brunello,92,90.456047.5,1.543953.5
Col d'Orcia Brunello di Montalcino,2004,brunello,91,90.108131.5,0.891869.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2006,brunello,95,90.535683.5,4.464317.5
Col d'Orcia Brunello di Montalcino,2006,brunello,94,90.495865.5,3.504135.5
Luce Della Vite Brunello di Montalcino,2006,brunello,100,92.089005.5,7.910995.5
Fuligni Brunello di Montalcino,2006,brunello,96,90.335793.5,5.664207.5
Conti Costanti Brunello di Montalcino,2006,brunello,91,91.332054.5,-0.332054.5
Camigliano Brunello di Montalcino,2006,brunello,91,90.026009.5,0.973991.5
Fattoria dei Barbi Brunello di Montalcino,2006,brunello,90,92.526611.5,-2.526611.5
Da Vinci Brunello di Montalcino,2006,brunello,92,90.814415.5,1.185585.5
Dona Paula Malbec Seleccion de Bodega,2009,malbec,93,89.959663.5,3.040337.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2006,brunello,95,90.933868.5,4.066132.5
Mastrojanni Brunello di Montalcino,2006,brunello,94,90.137497.5,3.862503.5
Tenute Silvio Nardi Brunello di Montalcino,2006,brunello,94,90.774597.5,3.225403.5
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2004,brunello,97,97.236046.5,-0.236046.5
Valdicava Brunello Riserva Madonna del Piano,2006,brunello,100,98.459976.5,1.540024.5
Valdicava Brunello di Montalcino,2007,brunello,98,94.134041.5,3.865959.5
Canalicchio di Sopra Brunello di Montalcino,2007,brunello,92,90.263672.5,1.736328.5
Castello Romitorio Brunello di Montalcino,2007,brunello,92,90.510551.5,1.489449.5
Casanova di Neri Brunello di Montalcino White Label,2007,brunello,91,90.470734.5,0.529266.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2007,brunello,97,92.540497.5,4.459503.5
Casanova di Neri Brunello di Montalcino Cerretalto,2006,brunello,99,98.061790.5,0.938210.5
Val di Suga Brunello di Montalcino,2006,brunello,92,90.336594.5,1.663406.5
Altesino Brunello di Montalcino,2007,brunello,91,92.142311.5,-1.142311.5
Altesino Montosoli Brunello di Montalcino,2007,brunello,98,93.735054.5,4.264946.5
Altesino Brunello di Montalcino Riserva,2006,brunello,95,91.690819.5,3.309181.5
Poggio San Polo Brunello di Montalcino,2007,brunello,94,90.709641.5,3.290359.5
Poggio San Polo Brunello di Montalcino Riserva,2006,brunello,94,90.814415.5,3.185585.5
