name,vintage,type,score,prediction,difference
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2001,brunello,97,94.654984.5,2.345016.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2004,brunello,94,93.997612.5,0.002388.5
Altesino Brunello di Montalcino,2004,brunello,92,93.727486.5,-1.727486.5
Argiano Brunello di Montalcino,2004,brunello,96,93.850204.5,2.149796.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2004,brunello,96,94.157303.5,1.842697.5
Tenute Silvio Nardi Brunello di Montalcino,2004,brunello,92,93.881042.5,-1.881042.5
Banfi Brunello di Montalcino,2004,brunello,93,93.850204.5,-0.850204.5
Casanova di Neri Brunello di Montalcino Cerretalto,2004,brunello,98,94.949814.5,3.050186.5
Uccelliera Brunello di Montalcino,2004,brunello,96,94.096008.5,1.903992.5
Fuligni Brunello di Montalcino,2004,brunello,96,93.911743.5,2.088257.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2005,brunello,93,94.052826.5,-1.052826.5
Vitanza Brunello di Montalcino,2004,brunello,94,93.807327.5,0.192673.5
Fuligni Brunello di Montalcino,2005,brunello,92,93.923973.5,-1.923973.5
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2001,brunello,100,97.412949.5,2.587051.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2005,brunello,90,93.887115.5,-3.887115.5
Valdicava Brunello di Montalcino,2004,brunello,95,94.218727.5,0.781273.5
Valdicava Brunello di Montalcino,2006,brunello,97,94.255463.5,2.744537.5
Capanna Brunello di Montalcino,2006,brunello,95,93.733391.5,1.266609.5
Casanova di Neri Brunello di Montalcino White Label,2006,brunello,92,93.764221.5,-1.764221.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2006,brunello,100,94.378311.5,5.621689.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2006,brunello,96,93.887070.5,2.112930.5
Poggio Antico Brunello di Montalcino,2006,brunello,95,93.899353.5,1.100647.5
Poggio Antico Brunello di Montalcino Altero,2006,brunello,95,93.880920.5,1.119080.5
