name,vintage,type,price,score,prediction,difference
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2001,brunello,209.97,97,95.29795,1.70205
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2004,brunello,93.97,94,94.19586,-0.19586
Altesino Brunello di Montalcino,2004,brunello,49.99,92,93.77802,-1.77802
Argiano Brunello di Montalcino,2004,brunello,69.97,96,93.96785,2.03215
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2004,brunello,119.97,96,94.44289,1.55711
Tenute Silvio Nardi Brunello di Montalcino,2004,brunello,74.99,92,94.01553,-2.01553
Banfi Brunello di Montalcino,2004,brunello,69.97,93,93.96785,-0.96785
Casanova di Neri Brunello di Montalcino Cerretalto,2004,brunello,249.00,98,95.66876,2.33124
Uccelliera Brunello di Montalcino,2004,brunello,109.99,96,94.34807,1.65193
Fuligni Brunello di Montalcino,2004,brunello,79.99,96,94.06304,1.93696
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2005,brunello,99.97,93,94.25287,-1.25287
Vitanza Brunello di Montalcino,2004,brunello,62.99,94,93.90153,0.09847
Fuligni Brunello di Montalcino,2005,brunello,78.99,92,94.05354,-2.05354
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2001,brunello,659.00,100,99.56409,0.43591
Antinori Pian Delle Vigne Brunello Di Montalcino,2005,brunello,72.99,90,93.99654,-3.99654
Valdicava Brunello di Montalcino,2004,brunello,129.97,95,94.53789,0.46211
Valdicava Brunello di Montalcino,2006,brunello,129.97,97,94.53789,2.46211
Capanna Brunello di Montalcino,2006,brunello,44.97,95,93.73032,1.26968
Casanova di Neri Brunello di Montalcino White Label,2006,brunello,49.99,92,93.77802,-1.77802
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2006,brunello,149.97,100,94.72791,5.27209
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2006,brunello,69.99,96,93.96803,2.03197
Poggio Antico Brunello di Montalcino,2006,brunello,71.99,95,93.98704,1.01296
Poggio Antico Brunello di Montalcino Altero,2006,brunello,68.99,95,93.95853,1.04147
Canalicchio di Sopra Brunello di Montalcino,2006,brunello,44.97,90,93.73032,-3.73032
BenMarco Malbec,2009,malbec,19.99,92,91.77303,0.22697
Banfi Brunello di Montalcino,2006,brunello,67.99,95,93.94904,1.05096
La Poderina Brunello di Montalcino,2006,brunello,53.99,95,93.81602,1.18398
Fattoria dei Barbi Brunello di Montalcino,2005,brunello,41.97,90,93.70183,-3.70183
Argiano Brunello di Montalcino,2006,brunello,57.99,92,93.85403,-1.85403
Col d'Orcia Brunello di Montalcino,2004,brunello,49.99,91,93.77802,-2.77802
Frescobaldi Castelgiocondo Brunello di Montalcino,2006,brunello,59.99,95,93.87303,1.12697
Col d'Orcia Brunello di Montalcino,2006,brunello,58.99,94,93.86353,0.13647
Luce Della Vite Brunello di Montalcino,2006,brunello,99.00,100,94.24365,5.75635
Fuligni Brunello di Montalcino,2006,brunello,54.97,96,93.82533,2.17467
Conti Costanti Brunello di Montalcino,2006,brunello,79.99,91,94.06304,-3.06304
Camigliano Brunello di Montalcino,2006,brunello,47.19,91,93.75142,-2.75142
Fattoria dei Barbi Brunello di Montalcino,2006,brunello,109.99,90,94.34807,-4.34807
Da Vinci Brunello di Montalcino,2006,brunello,66.99,92,93.93953,-1.93953
Dona Paula Malbec Seleccion de Bodega,2009,malbec,39.99,93,91.96305,1.03695
Antinori Pian Delle Vigne Brunello Di Montalcino,2006,brunello,69.99,95,93.96803,1.03197
Mastrojanni Brunello di Montalcino,2006,brunello,49.99,94,93.77802,0.22198
Tenute Silvio Nardi Brunello di Montalcino,2006,brunello,65.99,94,93.93003,0.06997
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2004,brunello,229.00,97,95.47875,1.52125
Valdicava Brunello Riserva Madonna del Piano,2006,brunello,259.00,100,95.76378,4.23622
Valdicava Brunello di Montalcino,2007,brunello,149.99,98,94.72810,3.27190
Canalicchio di Sopra Brunello di Montalcino,2007,brunello,52.79,92,93.80463,-1.80463
Castello Romitorio Brunello di Montalcino,2007,brunello,58.99,92,93.86353,-1.86353
Casanova di Neri Brunello di Montalcino White Label,2007,brunello,57.99,91,93.85403,-2.85403
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2007,brunello,109.97,97,94.34787,2.65213
Casanova di Neri Brunello di Montalcino Cerretalto,2006,brunello,249.00,99,95.66876,3.33124
Val di Suga Brunello di Montalcino,2006,brunello,54.99,92,93.82552,-1.82552
Altesino Brunello di Montalcino,2007,brunello,99.97,91,94.25287,-3.25287
Altesino Montosoli Brunello di Montalcino,2007,brunello,139.97,98,94.63290,3.36710
Altesino Brunello di Montalcino Riserva,2006,brunello,89.00,95,94.14864,0.85136
Poggio San Polo Brunello di Montalcino,2007,brunello,63.99,94,93.91103,0.08897
Poggio San Polo Brunello di Montalcino Riserva,2006,brunello,66.99,94,93.93953,0.06047
Salicutti Brunello di Montalcino Piaggione,2007,brunello,79.99,93,94.06304,-1.06304
Valdicava Brunello di Montalcino,1999,brunello,119.00,91,94.43367,-3.43367
Valdicava Brunello di Montalcino,2001,brunello,179.97,98,95.01292,2.98708
San Felice Campogiovanni Brunello di Montalcino,2007,brunello,43.99,94,93.72102,0.27898
San Felice Campogiovanni Brunello di Montalcino Il Quercione,2006,brunello,89.99,93,94.15805,-1.15805
Capanna Brunello di Montalcino,2007,brunello,57.99,94,93.85403,0.14597
Capanna Brunello di Montalcino Riserva,2006,brunello,99.99,95,94.25306,0.74694
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2007,brunello,71.99,96,93.98704,2.01296
Poggio Antico Brunello di Montalcino,2007,brunello,85.00,94,94.11064,-0.11064
Poggio Antico Brunello di Montalcino Altero,2007,brunello,89.00,98,94.14864,3.85136
Poggio Antico Brunello di Montalcino Riserva,2006,brunello,135.00,94,94.58568,-0.58568
Pietranera Brunello di Montalcino,2007,brunello,42.99,90,93.71152,-3.71152
La Serena Brunello di Montalcino,2007,brunello,54.99,94,93.82552,0.17448
La Serena Brunello di Montalcino Riserva Gemini,2006,brunello,89.97,96,94.15786,1.84214
San Filippo Brunello di Montalcino Le Lucere,2007,brunello,55.99,94,93.83502,0.16498
Uccelliera Brunello di Montalcino,2007,brunello,59.99,94,93.87303,0.12697
Banfi Brunello di Montalcino,2007,brunello,71.99,94,93.98704,0.01296
Frescobaldi Castelgiocondo Brunello di Montalcino,2007,brunello,57.99,94,93.85403,0.14597
Il Poggione Brunello di Montalcino,2007,brunello,79.99,94,94.06304,-0.06304
Primus Malbec,2010,malbec,19.99,90,91.77303,-1.77303
Gaja Rennina Brunello di Montalcino,2007,brunello,129.99,94,94.53809,-0.53809
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2006,brunello,99.99,93,94.25306,-1.25306
Tenute Silvio Nardi Brunello di Montalcino,2007,brunello,74.99,95,94.01553,0.98447
Podere Brizio Brunello di Montalcino,2007,brunello,56.99,92,93.84453,-1.84453
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2005,brunello,84.99,93,94.11055,-1.11055
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2006,brunello,109.00,95,94.33866,0.66134
Col d'Orcia Brunello di Montalcino,2007,brunello,44.99,92,93.73051,-1.73051
Camigliano Brunello di Montalcino,2007,brunello,54.99,91,93.82552,-2.82552
Gaja Sugarille Brunello di Montalcino,2008,brunello,165.00,92,94.87070,-2.87070
La Gerla Brunello di Montalcino,2007,brunello,54.99,92,93.82552,-1.82552
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2007,brunello,58.99,92,93.86353,-1.86353
Friggiali Brunello di Montalcino,2007,brunello,39.99,92,93.68301,-1.68301
Valdicava Brunello Riserva Madonna del Piano,2001,brunello,349.00,100,96.61884,3.38116
