name,vintage,type,price,score,prediction,difference
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2001,brunello,209.97,97,94.83574,2.16426
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2004,brunello,93.97,94,94.20624,-0.20624
Altesino Brunello di Montalcino,2004,brunello,49.99,92,93.94669,-1.94669
Argiano Brunello di Montalcino,2004,brunello,69.97,96,94.06461,1.93539
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2004,brunello,119.97,96,94.35968,1.64032
Tenute Silvio Nardi Brunello di Montalcino,2004,brunello,74.99,92,94.09422,-2.09422
Banfi Brunello di Montalcino,2004,brunello,69.97,93,94.06461,-1.06461
Casanova di Neri Brunello di Montalcino Cerretalto,2004,brunello,249.00,98,95.12115,2.87885
Uccelliera Brunello di Montalcino,2004,brunello,109.99,96,94.30078,1.69922
Fuligni Brunello di Montalcino,2004,brunello,79.99,96,94.12373,1.87627
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2005,brunello,99.97,93,94.26001,-1.26001
Vitanza Brunello di Montalcino,2004,brunello,62.99,94,94.02341,-0.02341
Fuligni Brunello di Montalcino,2005,brunello,78.99,92,94.13620,-2.13620
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2001,brunello,659.00,100,97.48570,2.51430
Antinori Pian Delle Vigne Brunello Di Montalcino,2005,brunello,72.99,90,94.10078,-4.10078
Valdicava Brunello di Montalcino,2004,brunello,129.97,95,94.41869,0.58131
Valdicava Brunello di Montalcino,2006,brunello,129.97,97,94.45541,2.54459
Capanna Brunello di Montalcino,2006,brunello,44.97,95,93.95378,1.04622
Casanova di Neri Brunello di Montalcino White Label,2006,brunello,49.99,92,93.98341,-1.98341
Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label),2006,brunello,149.97,100,94.57345,5.42655
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2006,brunello,69.99,96,94.10144,1.89856
Poggio Antico Brunello di Montalcino,2006,brunello,71.99,95,94.11325,0.88675
Poggio Antico Brunello di Montalcino Altero,2006,brunello,68.99,95,94.09554,0.90446
Canalicchio di Sopra Brunello di Montalcino,2006,brunello,44.97,90,93.95378,-3.95378
BenMarco Malbec,2009,malbec,19.99,92,91.55750,0.44250
Banfi Brunello di Montalcino,2006,brunello,67.99,95,94.08965,0.91035
La Poderina Brunello di Montalcino,2006,brunello,53.99,95,94.00702,0.99298
Fattoria dei Barbi Brunello di Montalcino,2005,brunello,41.97,90,93.91772,-3.91772
Argiano Brunello di Montalcino,2006,brunello,57.99,92,94.03062,-2.03062
Col d'Orcia Brunello di Montalcino,2004,brunello,49.99,91,93.94669,-2.94669
Frescobaldi Castelgiocondo Brunello di Montalcino,2006,brunello,59.99,95,94.04243,0.95757
Col d'Orcia Brunello di Montalcino,2006,brunello,58.99,94,94.03653,-0.03653
Luce Della Vite Brunello di Montalcino,2006,brunello,99.00,100,94.27264,5.72736
Fuligni Brunello di Montalcino,2006,brunello,54.97,96,94.01280,1.98720
Conti Costanti Brunello di Montalcino,2006,brunello,79.99,91,94.16046,-3.16046
Camigliano Brunello di Montalcino,2006,brunello,47.19,91,93.96689,-2.96689
Fattoria dei Barbi Brunello di Montalcino,2006,brunello,109.99,90,94.33751,-4.33751
Da Vinci Brunello di Montalcino,2006,brunello,66.99,92,94.08374,-2.08374
Dona Paula Malbec Seleccion de Bodega,2009,malbec,39.99,93,91.67552,1.32448
Antinori Pian Delle Vigne Brunello Di Montalcino,2006,brunello,69.99,95,94.10144,0.89856
Mastrojanni Brunello di Montalcino,2006,brunello,49.99,94,93.98341,0.01659
Tenute Silvio Nardi Brunello di Montalcino,2006,brunello,65.99,94,94.07784,-0.07784
Valdicava Brunello Riserva Madonna del Piano (scuffed label),2004,brunello,229.00,97,95.00313,1.99687
Valdicava Brunello Riserva Madonna del Piano,2006,brunello,259.00,100,95.21689,4.78311
Valdicava Brunello di Montalcino,2007,brunello,149.99,98,94.59193,3.40807
Canalicchio di Sopra Brunello di Montalcino,2007,brunello,52.79,92,94.01830,-2.01830
Castello Romitorio Brunello di Montalcino,2007,brunello,58.99,92,94.05489,-2.05489
Casanova di Neri Brunello di Montalcino White Label,2007,brunello,57.99,91,94.04898,-3.04898
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2007,brunello,109.97,97,94.35574,2.64426
Casanova di Neri Brunello di Montalcino Cerretalto,2006,brunello,249.00,99,95.15788,3.84212
Val di Suga Brunello di Montalcino,2006,brunello,54.99,92,94.01292,-2.01292
Altesino Brunello di Montalcino,2007,brunello,99.97,91,94.29674,-3.29674
Altesino Montosoli Brunello di Montalcino,2007,brunello,139.97,98,94.53279,3.46721
Altesino Brunello di Montalcino Riserva,2006,brunello,89.00,95,94.21363,0.78637
Poggio San Polo Brunello di Montalcino,2007,brunello,63.99,94,94.08440,-0.08440
Poggio San Polo Brunello di Montalcino Riserva,2006,brunello,66.99,94,94.08374,-0.08374
Salicutti Brunello di Montalcino Piaggione,2007,brunello,79.99,93,94.17882,-1.17882
Valdicava Brunello di Montalcino,1999,brunello,119.00,91,94.26215,-3.26215
Valdicava Brunello di Montalcino,2001,brunello,179.97,98,94.65869,3.34131
San Felice Campogiovanni Brunello di Montalcino,2007,brunello,43.99,94,93.96637,0.03363
San Felice Campogiovanni Brunello di Montalcino Il Quercione,2006,brunello,89.99,93,94.21947,-1.21947
Capanna Brunello di Montalcino,2007,brunello,57.99,94,94.04898,-0.04898
Capanna Brunello di Montalcino Riserva,2006,brunello,99.99,95,94.27849,0.72151
