location,count(*)
"Napa Valley, California",5269
"Tuscany, Italy",1620
"Sonoma County, California",1527
"Barolo, Piedmont, Italy",1328
"Columbia Valley, Washington",1282
Australia,1098
"Chateauneuf-du-Pape, Rhone, France",1075
"Montalcino, Tuscany, Italy",1040
"Willamette Valley, Oregon",1011
"Russian River, Sonoma County, California",983
"St. Emilion, Bordeaux, France",890
Argentina,874
"Rioja, Spain",843
"Barossa Valley, Barossa, Australia",840
"Chianti Classico, Chianti, Tuscany, Italy",820
"Central Coast, California",794
Spain,756
California,706
Chile,695
"Mendoza, Argentina",640
"McLaren Vale, Australia",638
"Sonoma Coast, Sonoma County, California",538
"Walla Walla Valley, Columbia Valley, Washington",524
"Pauillac, Bordeaux, France",508
"Oakville, Napa Valley, California",502
"Paso Robles, Central Coast, California",489
South Africa,475
"Barbaresco, Piedmont, Italy",377
"Ribera del Duero, Spain",372
"St. Julien, Bordeaux, France",372
"Margaux, Bordeaux, France",362
"Pessac-Leognan, Bordeaux, France",356
"Pomerol, Bordeaux, France",342
Italy,325
"Burgundy, France",323
"Piedmont, Italy",293
"Sta. Rita Hills, Santa Barbara, Central Coast, California",292
"Beaujolais, Burgundy, France",289
"Carneros, California",289
"Cotes du Rhone, Rhone, France",286
"Sicily, Italy",277
Portugal,270
"North Coast, California",258
"Rutherford, Napa Valley, California",254
"St. Estephe, Bordeaux, France",251
"Alba, Piedmont, Italy",245
"Languedoc-Roussillon, France",235
"Priorat, Spain",232
"Howell Mountain, Napa Valley, California",232
"Santa Cruz Mountains, California",230
"Santa Lucia Highlands, Monterey, Central Coast, California",227
"Alexander Valley, Sonoma County, California",212
"Veneto, Italy",207
"Gigondas, Rhone, France",201
"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",195
"St. Helena, Napa Valley, California",193
"Bolgheri, Tuscany, Italy",188
"Cote Rotie, Rhone, France",184
"Colchagua Valley, Rapel Valley, Chile",178
"Hermitage, Rhone, France",174
"Santa Maria Valley, Central Coast, California",172
"Uco Valley, Mendoza, Argentina",171
"Marlborough, New Zealand",168
"Rhone, France",168
"Santa Barbara, Central Coast, California",161
"Spring Mountain District, Napa Valley, California",157
"Stags Leap District, Napa Valley, California",142
"Yountville, Napa Valley, California",141
"Coonawarra, Limestone Coast, Australia",140
"Maipo Valley, Chile",139
"Medoc, Bordeaux, France",137
"Yakima Valley, Columbia Valley, Washington",134
"Valpolicella, Veneto, Italy",134
"Eola-Amity Hills, Willamette Valley, Oregon",131
"Chianti, Tuscany, Italy",131
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",126
"Calistoga, Napa Valley, California",123
"Bordeaux, France",120
