varietal,location,count(*)
"Cabernet Sauvignon","Napa Valley, California",3250
Nebbiolo,"Barolo, Piedmont, Italy",1327
"Rhone Red Blends","Chateauneuf-du-Pape, Rhone, France",1060
Sangiovese,"Montalcino, Tuscany, Italy",1039
"Pinot Noir","Willamette Valley, Oregon",1001
"Bordeaux Red Blends","Napa Valley, California",919
"Bordeaux Red Blends","St. Emilion, Bordeaux, France",881
Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",816
Tempranillo,"Rioja, Spain",741
"Pinot Noir","Russian River, Sonoma County, California",718
Syrah/Shiraz,Australia,642
Malbec,Argentina,546
Syrah/Shiraz,"Barossa Valley, Barossa, Australia",530
"Bordeaux Red Blends","Pauillac, Bordeaux, France",507
Sangiovese,"Tuscany, Italy",506
"Pinot Noir","Sonoma Coast, Sonoma County, California",497
"Cabernet Sauvignon","Columbia Valley, Washington",447
"Cabernet Sauvignon","Sonoma County, California",422
"Tuscan Blends","Tuscany, Italy",417
Merlot,"Napa Valley, California",406
Nebbiolo,"Barbaresco, Piedmont, Italy",377
"Bordeaux Red Blends","St. Julien, Bordeaux, France",372
Malbec,"Mendoza, Argentina",363
"Bordeaux Red Blends","Margaux, Bordeaux, France",362
"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",356
Syrah/Shiraz,"McLaren Vale, Australia",354
"Cabernet Sauvignon","Oakville, Napa Valley, California",349
Zinfandel,"Sonoma County, California",346
"Bordeaux Red Blends","Pomerol, Bordeaux, France",334
Tempranillo,"Ribera del Duero, Spain",314
"Pinot Noir","Burgundy, France",307
Gamay,"Beaujolais, Burgundy, France",288
Merlot,"Columbia Valley, Washington",283
"Cabernet Sauvignon",Chile,279
"Pinot Noir","Sonoma County, California",273
"Pinot Noir","Central Coast, California",270
"Rhone Red Blends","Cotes du Rhone, Rhone, France",269
"Pinot Noir","Sta. Rita Hills, Santa Barbara, Central Coast, California",260
"Bordeaux Red Blends","St. Estephe, Bordeaux, France",251
"Pinot Noir","Carneros, California",238
"Bordeaux Red Blends","Tuscany, Italy",232
"Other Red Blends","Tuscany, Italy",231
"Other Red Blends",Portugal,228
"Other Red Blends",Spain,224
"Cabernet Sauvignon","Rutherford, Napa Valley, California",222
"Bordeaux Red Blends","Columbia Valley, Washington",216
Nebbiolo,"Piedmont, Italy",209
"Pinot Noir","Santa Lucia Highlands, Monterey, Central Coast, California",207
"Pinot Noir","Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",195
"Rhone Red Blends","Gigondas, Rhone, France",195
Zinfandel,"Napa Valley, California",191
Syrah/Shiraz,"Central Coast, California",189
Syrah/Shiraz,"Columbia Valley, Washington",184
Syrah/Shiraz,"Walla Walla Valley, Columbia Valley, Washington",183
"Cabernet Sauvignon",Australia,182
Syrah/Shiraz,"Cote Rotie, Rhone, France",172
Syrah/Shiraz,"Hermitage, Rhone, France",172
"Cabernet Sauvignon","St. Helena, Napa Valley, California",170
"Other Red Blends","Napa Valley, California",169
"Bordeaux Red Blends","Bolgheri, Tuscany, Italy",165
"Other Red Blends","Veneto, Italy",164
"Pinot Noir","Marlborough, New Zealand",164
Grenache,Spain,157
"Bordeaux Red Blends","Sonoma County, California",156
"Cabernet Sauvignon","Howell Mountain, Napa Valley, California",155
Zinfandel,"Russian River, Sonoma County, California",153
Tempranillo,Spain,153
"Bordeaux Red Blends","Oakville, Napa Valley, California",150
"Rhone Red Blends","Paso Robles, Central Coast, California",149
Barbera,"Alba, Piedmont, Italy",149
"Pinot Noir","Santa Maria Valley, Central Coast, California",140
"Cabernet Sauvignon","Alexander Valley, Sonoma County, California",139
"Other Red Blends","Priorat, Spain",138
"Bordeaux Red Blends","Medoc, Bordeaux, France",137
"Rhone Red Blends","Languedoc-Roussillon, France",137
"Cabernet Sauvignon","Stags Leap District, Napa Valley, California",135
"Other Red Blends",Australia,134
Merlot,"Sonoma County, California",133
"Cabernet Sauvignon",California,128
"Pinot Noir","Eola-Amity Hills, Willamette Valley, Oregon",128
Sangiovese,"Chianti, Tuscany, Italy",126
"Pinot Noir","Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",126
Zinfandel,California,118
Syrah/Shiraz,"Cornas, Rhone, France",118
"Bordeaux Red Blends","South Africa",115
"Other Red Blends","Sicily, Italy",115
