region1,num_loc_elements,location
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
Argentina,2,"Salta, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Cafayate Valley, Salta, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Salta, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,3,"Uco Valley, Mendoza, Argentina"
Argentina,2,"Mendoza, Argentina"
Argentina,1,Argentina
Argentina,2,"Mendoza, Argentina"
